# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
q	I_data	I_err	I_fit
0.0964808	7725.52	133.405	7903.604072749501
0.0970061	7839.66	133.822	7917.713879425193
0.0975315	7989.22	133.641	7931.428695886106
0.0980568	7574.2	135.457	7944.731813224847
0.0985822	7828.04	135.768	7957.617185519963
0.0991076	7965.59	134.728	7970.071502785714
0.0996329	7805.63	138.107	7982.082151827897
0.100158	7352.14	130.331	7993.637230039549
0.100684	7679.6	130.673	8004.750377920546
0.101209	7991.07	127.056	8015.37229488435
0.101734	7820.95	126.121	8025.515622630077
0.10226	7604.37	125.369	8035.1896979036055
0.102785	7881.98	122.422	8044.349475460949
0.10331	8012.48	124.028	8053.0058976242735
0.103836	7734.61	121.439	8061.1663988359205
0.104361	8008.89	122.12	8068.792673905078
0.104886	7891.07	121.468	8075.893779955696
0.105412	7829.4	118.787	8082.475086736965
0.105937	7623.5	120.117	8088.505239038585
0.106462	7518.16	116.975	8093.99124257037
0.106988	7688.89	119.082	8098.936258542735
0.107513	7803.74	117.663	8103.316061545908
0.108039	7895.68	116.106	8107.142195316584
0.108564	7985.48	117.477	8110.395274619194
0.109089	7830.47	114.907	8113.078565982441
0.109615	7763.28	116.534	8115.191276599202
0.11014	8006.37	114.354	8116.721386230174
0.110665	7715.34	114.734	8117.66975429169
0.111191	7801.38	113.974	8118.033078741657
0.111716	7817.78	113.065	8117.806808130143
0.112241	7774.28	113.686	8116.989291500113
0.112767	7810.23	111.893	8115.574633346689
0.113292	7865.28	113.045	8113.565827883207
0.113817	7853.86	112.926	8110.958625626022
0.114343	7693.73	110.769	8107.744467684703
0.114868	7687.97	111.239	8103.933944759516
0.115393	7603.83	110.916	8099.520135034702
0.115919	7895.16	111.099	8094.491759888366
0.116444	7850.66	110.833	8088.867032155695
0.116969	7675.97	109.191	8082.636297520657
0.117495	8019.03	109.851	8075.785514176285
0.11802	7826.15	108.335	8068.3405184476405
0.118546	7969.37	109.413	8060.27296111303
0.119071	7873.97	109.041	8051.613751590489
0.119596	7912.68	108.42	8042.348582030471
0.120122	7841.94	108.308	8032.458741137316
0.120647	7766.26	106.848	8021.982712510364
0.121172	7834.31	107.435	8010.903357046526
0.121698	7917.42	105.981	7999.199142593516
0.122223	7930.2	106.989	7986.91606789222
0.122748	7897.36	106.149	7974.034146961169
0.123274	7832.12	104.789	7960.529025301962
0.123799	7678.4	104.745	7946.454136790491
0.124324	7709.46	103.802	7931.786643728181
0.12485	7711.93	104.541	7916.499377891511
0.125375	7631.5	103.506	7900.653108252475
0.1259	7743.03	102.743	7884.2221508013845
0.126426	7629.12	103.21	7867.176541787153
0.126951	7801.42	102.88	7849.584266152981
0.127476	7614.81	102.707	7831.416808704087
0.128002	7549.1	101.57	7812.641437417485
0.128527	7730.36	102.242	7793.333215954209
0.129053	7678.55	101.935	7773.422434275166
0.129578	7552.31	102.078	7752.988791879189
0.130103	7583.07	101.592	7731.999112746187
0.130629	7856.65	101.208	7710.416134074322
0.131154	7724.91	101.445	7688.326367635899
0.131679	7686.12	101.577	7665.693890249126
0.132205	7760.57	101.571	7642.478784011815
0.13273	7560.64	100.416	7618.77419212794
0.133255	7513.2	100.373	7594.541490745424
0.133781	7519.12	100.356	7569.7381630942855
0.134306	7495.77	99.728	7544.463788431677
0.134831	7425.91	99.6539	7518.6770961598995
0.135357	7414.84	99.6626	7492.333033664361
0.135882	7637.59	99.3868	7465.53740733589
0.136407	7392.01	99.87	7438.246360724804
0.136933	7536.41	98.6273	7410.41237472531
0.137458	7466.61	98.1309	7382.147261400731
0.137983	7134.18	98.1583	7353.404645854998
0.138509	7316.72	98.0357	7324.134617721738
0.139034	7390.44	98.0217	7294.4547617352255
0.13956	7425.1	97.1354	7264.258417814719
0.140085	7358.63	97.143	7233.666885611573
0.14061	7064.39	96.7115	7202.629758374033
0.141136	7219.16	96.8818	7171.093321566039
0.141661	7221.88	96.8065	7139.184236193416
0.142186	7191.65	95.8417	7106.849785255407
